                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.155,                0.73192,                 1.1923,                0.94906,                0.92082,                0.96827,                 0.5935,                 1.3076,                0.68142,                 1.2396,              0.0012687,              0.0012687,              0.0012687
                     36,                 1.2194,                0.76226,                 1.2296,                 0.9531,                0.90915,                 0.9601,                0.60946,                 1.2327,                0.65839,                 1.2135,               0.001264,               0.001264,               0.001264
                     37,                 1.1637,                0.69966,                  1.181,                 0.9708,                 0.9155,                0.96668,                 0.6075,                 1.2052,                0.63358,                 1.1936,              0.0012592,              0.0012592,              0.0012592
                     38,                 1.1714,                0.70079,                 1.1868,                0.95688,                0.97474,                0.98729,                0.63057,                 1.1997,                0.66346,                 1.1828,              0.0012545,              0.0012545,              0.0012545
                     39,                 1.1744,                0.79199,                 1.1877,                0.95726,                0.95826,                 0.9713,                0.62913,                 1.1878,                 0.6189,                 1.1938,              0.0012498,              0.0012498,              0.0012498
                     40,                 1.1554,                0.71843,                 1.2065,                0.94574,                0.92085,                0.95857,                0.62353,                 1.2645,                0.62313,                 1.2137,              0.0012451,              0.0012451,              0.0012451
                     41,                 1.2038,                0.75872,                 1.2531,                0.95351,                0.94982,                0.96815,                0.62219,                 1.2566,                0.62913,                  1.238,              0.0012404,              0.0012404,              0.0012404
                     42,                 1.1536,                0.71135,                 1.1749,                0.95667,                0.95775,                0.96806,                0.62856,                 1.2603,                0.66163,                 1.2539,              0.0012357,              0.0012357,              0.0012357
                     43,                 1.1158,                0.68128,                 1.1624,                0.95122,                0.95888,                 0.9764,                0.62964,                 1.2371,                0.61188,                 1.1898,              0.0012309,              0.0012309,              0.0012309
                     44,                   1.15,                0.67886,                 1.1626,                0.89202,                0.92706,                0.95036,                0.61027,                 1.2293,                0.65469,                 1.1938,              0.0012262,              0.0012262,              0.0012262
                     45,                 1.1529,                0.68474,                 1.1794,                0.91955,                0.93374,                0.96635,                0.62654,                 1.2477,                0.60032,                 1.2206,              0.0012215,              0.0012215,              0.0012215
                     46,                 1.1913,                0.79222,                 1.2217,                0.92941,                 0.9651,                0.97474,                0.62408,                 1.2397,                  0.608,                 1.2361,              0.0012168,              0.0012168,              0.0012168
                     47,                 1.1383,                0.68707,                 1.1771,                0.96804,                0.95279,                0.97491,                0.63106,                 1.2303,                 0.6013,                 1.2184,              0.0012121,              0.0012121,              0.0012121
                     48,                 1.1819,                0.69944,                 1.2017,                0.94701,                0.94484,                0.97404,                0.63383,                 1.2428,                0.58716,                 1.1989,              0.0012074,              0.0012074,              0.0012074
                     49,                 1.1564,                0.69238,                 1.2273,                0.94129,                0.90194,                0.96326,                0.62206,                 1.2406,                 0.6126,                 1.2096,              0.0012026,              0.0012026,              0.0012026
                     50,                 1.1318,                0.70497,                 1.1923,                0.92647,                0.94027,                0.97029,                0.61374,                 1.2602,                0.60706,                 1.2107,              0.0011979,              0.0011979,              0.0011979
                     51,                  1.076,                0.64722,                 1.1465,                0.95353,                0.94511,                 0.9767,                0.64938,                 1.2189,                0.59477,                   1.18,              0.0011932,              0.0011932,              0.0011932
                     52,                 1.1349,                0.68784,                 1.1561,                0.93355,                0.92589,                0.95858,                0.63307,                 1.2912,                0.62341,                  1.221,              0.0011885,              0.0011885,              0.0011885
                     53,                 1.1566,                 0.6985,                 1.2077,                0.91951,                0.92593,                0.95522,                 0.6275,                 1.2022,                 0.6132,                  1.183,              0.0011838,              0.0011838,              0.0011838
                     54,                 1.1138,                0.72618,                   1.18,                0.96249,                0.94344,                0.97195,                0.63561,                 1.2403,                0.59089,                  1.194,              0.0011791,              0.0011791,              0.0011791
                     55,                 1.1003,                0.64176,                 1.1482,                0.95483,                0.94056,                0.97487,                0.63947,                  1.201,                0.59782,                 1.1925,              0.0011744,              0.0011744,              0.0011744
                     56,                  1.167,                0.72976,                 1.1959,                0.94123,                0.95556,                  0.976,                0.63893,                 1.1841,                0.59664,                 1.1905,              0.0011696,              0.0011696,              0.0011696
                     57,                 1.1246,                 0.6812,                 1.1854,                0.96717,                  0.943,                0.97801,                0.63051,                 1.2422,                0.59079,                 1.2108,              0.0011649,              0.0011649,              0.0011649
                     58,                 1.1613,                0.65137,                 1.1714,                0.94822,                0.96681,                0.98316,                 0.6373,                 1.1802,                0.56302,                 1.1951,              0.0011602,              0.0011602,              0.0011602
                     59,                  1.075,                0.61532,                 1.1408,                0.94564,                0.95972,                0.97922,                0.65353,                 1.2083,                0.57113,                 1.2066,              0.0011555,              0.0011555,              0.0011555
                     60,                 1.1274,                 0.6426,                  1.155,                0.94255,                0.94818,                 0.9779,                0.65228,                 1.1996,                0.57448,                 1.2118,              0.0011508,              0.0011508,              0.0011508
                     61,                 1.0687,                0.61594,                 1.1277,                0.94861,                0.95655,                0.97486,                0.64958,                 1.1919,                0.55077,                  1.211,              0.0011461,              0.0011461,              0.0011461
                     62,                0.99837,                0.59076,                 1.1128,                0.94174,                0.94496,                0.97126,                0.63961,                 1.1841,                0.54767,                 1.1851,              0.0011413,              0.0011413,              0.0011413
                     63,                 1.0356,                 0.5873,                 1.1078,                 0.9601,                0.95615,                0.97319,                0.63835,                 1.1838,                0.56847,                 1.1854,              0.0011366,              0.0011366,              0.0011366
                     64,                 1.0434,                0.60044,                 1.1232,                0.90163,                0.96952,                0.97768,                0.62794,                 1.1961,                0.55261,                 1.2048,              0.0011319,              0.0011319,              0.0011319
                     65,                 1.0843,                0.60013,                 1.1525,                0.91919,                0.94854,                0.96299,                0.60741,                 1.2683,                0.58357,                 1.2313,              0.0011272,              0.0011272,              0.0011272
                     66,                 1.0731,                0.60182,                 1.1406,                0.93809,                0.93337,                0.95666,                0.63473,                 1.1883,                0.55579,                   1.19,              0.0011225,              0.0011225,              0.0011225
                     67,                 1.0938,                0.62443,                 1.2067,                0.92883,                0.92758,                0.93921,                0.62377,                 1.1894,                0.53676,                 1.1872,              0.0011178,              0.0011178,              0.0011178
                     68,                 1.0526,                0.65311,                 1.1235,                 0.9352,                0.96681,                0.97115,                0.64087,                 1.1782,                0.56611,                 1.1829,               0.001113,               0.001113,               0.001113
                     69,                 1.0035,                0.64133,                 1.0938,                0.94457,                0.93247,                0.96181,                0.64642,                 1.1927,                0.56972,                 1.1791,              0.0011083,              0.0011083,              0.0011083
                     70,                 1.0676,                0.59418,                 1.1301,                0.87346,                 0.8937,                0.94922,                0.58938,                 1.3094,                 0.6538,                 1.2645,              0.0011036,              0.0011036,              0.0011036
                     71,                 1.0456,                0.59116,                 1.1103,                0.89616,                0.97322,                0.96868,                0.63268,                 1.1989,                0.58763,                 1.1763,              0.0010989,              0.0010989,              0.0010989
                     72,                 1.0073,                0.58076,                 1.1331,                0.93479,                0.91774,                 0.9552,                0.62964,                 1.2347,                0.57997,                 1.2147,              0.0010942,              0.0010942,              0.0010942
                     73,                 1.0412,                 0.6662,                 1.1565,                0.95366,                0.92646,                0.97319,                0.65414,                 1.1494,                0.53171,                 1.1506,              0.0010895,              0.0010895,              0.0010895
                     74,                 1.0115,                0.60411,                 1.1099,                0.96368,                0.92018,                0.96848,                0.63901,                 1.1602,                0.56021,                 1.1667,              0.0010848,              0.0010848,              0.0010848
                     75,                 1.0798,                0.61985,                 1.1287,                0.96167,                0.94173,                0.98229,                 0.6504,                 1.2004,                0.54498,                 1.1882,                0.00108,                0.00108,                0.00108
                     76,                 1.0698,                0.58423,                 1.1312,                0.94914,                0.94961,                0.97686,                0.62818,                 1.2201,                0.56829,                 1.1825,              0.0010753,              0.0010753,              0.0010753
                     77,                 1.0214,                0.56498,                 1.1041,                0.94744,                0.96022,                0.98156,                0.64425,                 1.1804,                0.52502,                 1.1739,              0.0010706,              0.0010706,              0.0010706
                     78,                  1.041,                0.57594,                 1.1197,                0.93192,                0.92749,                0.95146,                0.63716,                 1.1569,                0.53971,                 1.1687,              0.0010659,              0.0010659,              0.0010659
                     79,                 1.0033,                0.55228,                 1.0878,                0.93477,                0.97604,                0.97577,                0.64254,                 1.2133,                0.56588,                 1.1825,              0.0010612,              0.0010612,              0.0010612
                     80,                  1.065,                0.60225,                 1.1463,                0.94347,                0.94846,                0.96153,                0.62163,                   1.26,                0.56628,                  1.231,              0.0010565,              0.0010565,              0.0010565
                     81,                 1.0903,                0.65858,                 1.1723,                0.92066,                0.95424,                0.96124,                0.63213,                 1.1825,                0.56139,                 1.1708,              0.0010517,              0.0010517,              0.0010517
                     82,                 1.0292,                0.58703,                 1.1112,                0.93588,                0.92138,                0.95867,                 0.6303,                 1.2487,                0.54579,                  1.192,               0.001047,               0.001047,               0.001047
                     83,                 1.0395,                0.58946,                 1.1169,                0.93788,                0.91281,                0.95528,                0.64204,                  1.154,                0.54029,                 1.1593,              0.0010423,              0.0010423,              0.0010423
                     84,                 1.0598,                0.58592,                  1.129,                0.91757,                0.91747,                0.94723,                0.63156,                 1.2252,                0.56115,                 1.2011,              0.0010376,              0.0010376,              0.0010376
                     85,                  1.029,                 0.5928,                 1.1146,                 0.9432,                0.93379,                 0.9633,                0.63505,                 1.2152,                0.54752,                 1.1707,              0.0010329,              0.0010329,              0.0010329
                     86,                 1.0509,                0.59206,                 1.1415,                0.95799,                0.91926,                0.97289,                0.65053,                 1.2126,                0.53171,                 1.1583,              0.0010282,              0.0010282,              0.0010282
                     87,                 1.0236,                0.60641,                 1.1438,                0.95133,                0.94836,                0.96699,                0.64726,                 1.1668,                0.52426,                 1.1481,              0.0010234,              0.0010234,              0.0010234
                     88,                 1.0089,                0.56433,                  1.119,                0.94742,                0.95925,                0.97826,                0.63734,                 1.2128,                0.53691,                 1.1706,              0.0010187,              0.0010187,              0.0010187
                     89,                 1.0315,                0.58342,                 1.1044,                0.94324,                0.95371,                0.97551,                0.63611,                 1.1681,                0.55023,                 1.1608,               0.001014,               0.001014,               0.001014
                     90,                 1.0015,                0.54596,                 1.0989,                0.95918,                 0.9487,                0.96993,                0.65268,                 1.1823,                0.52491,                 1.1536,              0.0010093,              0.0010093,              0.0010093
                     91,                0.97781,                0.56843,                 1.1102,                0.93983,                0.92183,                0.96011,                0.64543,                 1.2037,                0.52767,                 1.1741,              0.0010046,              0.0010046,              0.0010046
                     92,                0.99893,                0.54153,                 1.0938,                0.96649,                0.94828,                 0.9742,                0.64887,                 1.2001,                0.51913,                 1.1704,             0.00099987,             0.00099987,             0.00099987
                     93,                0.98819,                0.54312,                 1.1173,                0.94645,                0.95424,                0.97145,                0.65187,                 1.1622,                0.52154,                 1.1735,             0.00099516,             0.00099516,             0.00099516
                     94,                0.99764,                0.53939,                 1.0728,                0.93863,                0.96114,                0.97628,                 0.6346,                 1.1902,                 0.5264,                   1.18,             0.00099044,             0.00099044,             0.00099044
                     95,                 1.0212,                0.56112,                 1.1178,                0.96004,                0.95668,                0.97997,                0.65528,                 1.1782,                0.50276,                 1.1787,             0.00098572,             0.00098572,             0.00098572
                     96,                0.93859,                 0.5305,                 1.0584,                0.97048,                0.96509,                0.98106,                0.65705,                 1.1892,                0.49874,                  1.177,             0.00098101,             0.00098101,             0.00098101
                     97,                0.97438,                0.51438,                 1.0865,                0.97023,                0.96576,                0.97778,                0.63415,                 1.2232,                 0.5177,                 1.1995,             0.00097629,             0.00097629,             0.00097629
                     98,                 1.0364,                0.55686,                 1.1057,                0.96657,                0.97281,                0.98137,                0.65419,                 1.1804,                0.51318,                 1.1678,             0.00097158,             0.00097158,             0.00097158
                     99,                0.94339,                0.55434,                 1.0522,                 0.9422,                0.97011,                0.98217,                0.64906,                 1.1992,                0.50296,                 1.1734,             0.00096686,             0.00096686,             0.00096686
                    100,                0.96221,                0.52995,                 1.0929,                0.94551,                0.95155,                0.97744,                0.64179,                  1.168,                0.53842,                 1.1683,             0.00096215,             0.00096215,             0.00096215
                    101,                0.95258,                0.51551,                 1.0768,                0.95638,                 0.9609,                0.97713,                0.64958,                 1.1914,                0.51102,                 1.1676,             0.00095743,             0.00095743,             0.00095743
                    102,                0.95462,                0.53271,                 1.0758,                0.93994,                0.96061,                0.96792,                0.65468,                 1.1548,                0.51153,                  1.169,             0.00095271,             0.00095271,             0.00095271
                    103,                0.97265,                 0.5272,                 1.0962,                0.97043,                0.96606,                0.98033,                0.65502,                 1.2079,                0.50795,                 1.1819,               0.000948,               0.000948,               0.000948
                    104,                 1.0127,                0.56911,                 1.1021,                0.96762,                0.97166,                0.98094,                0.64466,                 1.1886,                0.52308,                 1.1617,             0.00094328,             0.00094328,             0.00094328
                    105,                0.92943,                0.51252,                 1.0724,                0.97099,                0.94286,                0.97694,                0.64379,                 1.1933,                0.50911,                 1.1798,             0.00093857,             0.00093857,             0.00093857
                    106,                0.98633,                   0.53,                 1.0784,                0.97715,                0.95035,                0.97871,                0.65263,                 1.1961,                0.51172,                 1.1825,             0.00093385,             0.00093385,             0.00093385
                    107,                0.94964,                0.52555,                 1.0648,                0.96817,                0.97532,                0.98412,                0.65673,                 1.1769,                0.49467,                 1.1692,             0.00092914,             0.00092914,             0.00092914
                    108,                0.99574,                0.53381,                 1.0849,                0.96902,                0.94763,                0.98363,                0.64096,                 1.2221,                0.50133,                 1.1799,             0.00092442,             0.00092442,             0.00092442
                    109,                0.95856,                0.55067,                 1.0785,                0.96386,                0.93918,                0.98247,                0.65419,                 1.1781,                0.50568,                 1.1827,              0.0009197,              0.0009197,              0.0009197
                    110,                0.97628,                0.52493,                  1.089,                 0.9534,                0.96999,                0.97878,                0.63992,                 1.1872,                0.53491,                  1.183,             0.00091499,             0.00091499,             0.00091499
                    111,                0.95665,                0.51952,                 1.0862,                0.94218,                0.95891,                0.97503,                0.64867,                 1.1988,                0.51194,                 1.1991,             0.00091027,             0.00091027,             0.00091027
                    112,                0.98456,                0.52957,                 1.0776,                0.95508,                 0.9795,                0.97597,                0.65175,                 1.2372,                0.48401,                 1.2106,             0.00090556,             0.00090556,             0.00090556
